Total_runs	Proportion_of_Starting_failure	Proportion_failure_after_draws
471	0.24416135881104034	0.07855626326963906
472	0.24364406779661016	0.07838983050847458
473	0.24312896405919662	0.07822410147991543
474	0.24261603375527427	0.07805907172995781
475	0.24210526315789474	0.07789473684210527
476	0.2415966386554622	0.07773109243697479
477	0.24109014675052412	0.07756813417190776
478	0.2405857740585774	0.07740585774058577
479	0.24008350730688935	0.07724425887265135
480	0.23958333333333334	0.07708333333333334
481	0.2390852390852391	0.07692307692307693
482	0.23858921161825727	0.07676348547717843
483	0.23809523809523808	0.07660455486542443
484	0.23760330578512398	0.07644628099173553
485	0.23711340206185566	0.07628865979381444
486	0.23868312757201646	0.07613168724279835
487	0.23819301848049282	0.07597535934291581
488	0.23975409836065573	0.07581967213114754
489	0.2392638036809816	0.07566462167689161
490	0.23877551020408164	0.07551020408163266
491	0.23828920570264767	0.07535641547861507
492	0.23780487804878048	0.07520325203252033
493	0.23732251521298176	0.07505070993914807
494	0.23684210526315788	0.07489878542510121
495	0.23636363636363636	0.07474747474747474
496	0.23588709677419356	0.07459677419354839
497	0.23541247484909456	0.0744466800804829
498	0.23493975903614459	0.07429718875502007
499	0.23446893787575152	0.07414829659318638
500	0.236	0.074
501	0.23552894211576847	0.07385229540918163
502	0.2350597609561753	0.07370517928286853
503	0.2345924453280318	0.073558648111332
504	0.23412698412698413	0.07341269841269842
505	0.23366336633663368	0.07326732673267326
506	0.233201581027668	0.07312252964426877
507	0.23274161735700197	0.07297830374753451
508	0.23228346456692914	0.07283464566929133
509	0.2337917485265226	0.07269155206286837
510	0.23529411764705882	0.07254901960784314
511	0.23483365949119372	0.07240704500978473
512	0.234375	0.072265625
513	0.23391812865497075	0.07212475633528265
514	0.23346303501945526	0.07198443579766536
515	0.23495145631067962	0.07378640776699029
516	0.23449612403100775	0.07364341085271318
517	0.23404255319148937	0.0735009671179884
518	0.2335907335907336	0.07335907335907337
519	0.2350674373795761	0.07514450867052024
520	0.23461538461538461	0.075
521	0.23416506717850288	0.07485604606525911
522	0.23371647509578544	0.07471264367816093
523	0.23518164435946462	0.0745697896749522
524	0.23473282442748092	0.07442748091603053
525	0.2361904761904762	0.07428571428571429
526	0.23574144486692014	0.0741444866920152
527	0.23529411764705882	0.07400379506641366
528	0.23484848484848486	0.07386363636363637
529	0.23440453686200377	0.07372400756143667
530	0.2339622641509434	0.07358490566037736
531	0.23540489642184556	0.07344632768361582
532	0.23684210526315788	0.07330827067669173
533	0.23639774859287055	0.07317073170731707
534	0.23595505617977527	0.07303370786516854
535	0.23738317757009345	0.07476635514018691
536	0.23880597014925373	0.07462686567164178
537	0.24022346368715083	0.07635009310986965
538	0.23977695167286245	0.0762081784386617
539	0.24118738404452691	0.07606679035250463
540	0.24259259259259258	0.07777777777777778
541	0.24399260628465805	0.07763401109057301
542	0.24354243542435425	0.07749077490774908
543	0.2430939226519337	0.07734806629834254
544	0.2426470588235294	0.07720588235294118
545	0.24403669724770644	0.07706422018348624
546	0.24358974358974358	0.07692307692307693
547	0.24314442413162707	0.07678244972577697
548	0.2427007299270073	0.07664233576642336
549	0.24408014571949	0.07650273224043716
550	0.24363636363636362	0.07636363636363637
551	0.24319419237749546	0.07622504537205081
552	0.2427536231884058	0.07608695652173914
553	0.2423146473779385	0.0759493670886076
554	0.24368231046931407	0.07581227436823104
555	0.24324324324324326	0.07567567567567568
556	0.2446043165467626	0.07553956834532374
557	0.24416517055655296	0.07540394973070018
558	0.24372759856630824	0.07526881720430108
559	0.24329159212880144	0.07513416815742398
560	0.24285714285714285	0.075
561	0.24420677361853832	0.0748663101604278
562	0.24377224199288255	0.07473309608540925
563	0.2433392539964476	0.07460035523978685
564	0.2429078014184397	0.07446808510638298
565	0.2424778761061947	0.0743362831858407
566	0.2420494699646643	0.07420494699646643
567	0.24162257495590828	0.07407407407407407
568	0.24119718309859156	0.07394366197183098
569	0.24253075571177504	0.07381370826010544
570	0.24210526315789474	0.07368421052631578
571	0.24168126094570927	0.07355516637478109
572	0.243006993006993	0.07517482517482517
573	0.2425828970331588	0.07504363001745201
574	0.2421602787456446	0.07491289198606271
575	0.2417391304347826	0.07478260869565218
576	0.24131944444444445	0.07465277777777778
577	0.24263431542461006	0.07452339688041594
578	0.2422145328719723	0.07439446366782007
579	0.24179620034542315	0.07426597582037997
580	0.2413793103448276	0.07413793103448275
581	0.24096385542168675	0.07401032702237521
582	0.24054982817869416	0.07388316151202749
583	0.24013722126929674	0.07375643224699828
584	0.23972602739726026	0.07363013698630137
585	0.23931623931623933	0.0735042735042735
586	0.23890784982935154	0.07337883959044368
587	0.23850085178875638	0.07325383304940375
588	0.23809523809523808	0.07312925170068027
589	0.23769100169779286	0.0730050933786078
590	0.23898305084745763	0.07288135593220339
591	0.24027072758037224	0.07445008460236886
592	0.23986486486486486	0.07432432432432433
593	0.23946037099494097	0.07419898819561552
594	0.24074074074074073	0.07575757575757576
595	0.24033613445378152	0.07563025210084033
596	0.23993288590604026	0.07550335570469799
597	0.24120603015075376	0.07537688442211055
598	0.2408026755852843	0.07525083612040134
599	0.24040066777963273	0.07512520868113523
600	0.24	0.075
601	0.23960066555740434	0.07487520798668885
602	0.23920265780730898	0.07475083056478406
603	0.23880597014925373	0.07462686567164178
604	0.23841059602649006	0.07450331125827815
605	0.23801652892561984	0.0743801652892562
606	0.2376237623762376	0.07425742574257425
607	0.2372322899505766	0.07413509060955518
608	0.23684210526315788	0.07401315789473684
609	0.23645320197044334	0.07389162561576355
610	0.23770491803278687	0.07377049180327869
611	0.23731587561374795	0.07364975450081833
612	0.2369281045751634	0.07352941176470588
613	0.2365415986949429	0.0734094616639478
614	0.23615635179153094	0.0732899022801303
615	0.23577235772357724	0.07317073170731707
616	0.2353896103896104	0.07305194805194805
617	0.2366288492706645	0.07455429497568881
618	0.23624595469255663	0.0744336569579288
619	0.2358642972536349	0.07431340872374798
620	0.23548387096774193	0.07419354838709677
621	0.23510466988727857	0.07407407407407407
622	0.23633440514469453	0.07395498392282958
623	0.23595505617977527	0.0738362760834671
624	0.23557692307692307	0.07371794871794872
625	0.2352	0.0736
626	0.23482428115015974	0.07348242811501597
627	0.23604465709728867	0.0733652312599681
628	0.2356687898089172	0.0732484076433121
629	0.2368839427662957	0.07313195548489666
630	0.2365079365079365	0.07301587301587302
631	0.23613312202852615	0.07290015847860538
632	0.23575949367088608	0.07278481012658228
633	0.2353870458135861	0.07266982622432859
